Topic	Irish	English	Phonetic	Sound	Info																																																							
Family_	ár bpáistí	our children																																																										
Family_	bhur gclann	your clan/children																																																										
Family_	a bpáistí	their children																																																										
Family_	mo chlann	my clan/children																																																										
Family_	do chlann	your children																																																										
Family_	mo mhacsa	*my* son																																																										
Family_	do mhacsa	*your* son																																																										
Family_	do mháthairse	*your* mother																																																										
Family_	d'iníonsa	*your* daughter																																																										
Family_	Cá mhéad páiste atá agat?	How many children have you?	Ca vhead pawstee ataa agat?																																																									
Family_																																																												
Family_		Note that the singular form of the noun is used after Cá mhéad?																																																										
Family_																																																												
Family_	Cá mhéad cáilín atá agat?	How many girls have you?																																																										
Family_																																																												
Family_	Cá mhéad duine?	How many people?																																																										
Family_																																																												
Family_	lón inniu	lunch today	loan in-nu																																																									
Family_	meánlae	midday																																																										
Family_	an chéad Aibreán	first of april	an chid A-ibrin																																																									
Family_	duine amháin	one person	dinye awan																																																									
Family_	beirt	two people	birch																																																									
Family_	triúr	three people	true-er																																																									
Family_	ceathrar	four people	cah-rer																																																									
Family_	cúigear	five people	cooiger																																																									
Family_	seisear	six people	shesher																																																									
Family_	seachtar	seven people	shocktar																																																									
Family_	ochtar	eight people	oktar																																																									
Family_	naonúr	nine people	neenar																																																									
Family_	deichniúr	ten people	djenur																																																									
Family_	seisear iníonacha																																																											
Family_	triúr mac																																																											
Family_	ceathrar buachaillí																																																											
Family_	cúigear cailíní																																																											
Family_	triúr iníonacha																																																											
Family_	mac amháin																																																											
Family_	beirt mhac																																																											
Family_	beirt chailíní																																																											
Family_	Tá $NUMBER páiste agam.	I have $NUMBER children.																																																										
Family_																																																												
Family_	scoil	school	skull																																																									
Family_	naíonra	playschool	neenra																																																									
Family_	naíscoil	nursery school	nee-skull																																																									
Family_	bunscoil	primary school	bun-skull																																																									
Family_	meánscoil	secondary school	man-skull																																																									
Family_	ollscoil	university	ol-skull																																																									
Family_																																																												
Family_	Tá ... acu ar an scoil.	... of them are at school.																																																										
Family_																																																												
Family_	Tá beirt acu ar an scoil.	Two of them are at school.	...acu air an skull																																																									
Family_	Tá duine amháin acu sa naíonra.	One of them is in playschool.	.. sa neenra																																																									
Family_																																																												
Family_	Tá Síle ar an bhunscoil.	Síle is at primary school.	...ar an whunskull																																																									
Family_	Tá Aodh ar an mheánscoil.	Aodh is at secondary school.	...vanskull???																																																									
Family_	Tá Nóra ar an ollscoil.	Nóra is at university.	..ol-skull																																																									
What you did	seachtain	week																																																										
What you did	deireadh	end																																																										
What you did	an deireadh seachtaine	the weekend																																																										
What you did																																																												
What you did		REFERING TO THE RECENT PAST																																																										
What you did	...ag an deireadh seachtaine	at the weekend																																																										
What you did	...inniú	today																																																										
What you did	...inné	yesterday																																																										
What you did	...arú inné	the day before yesterday	aroo inyay																																																									
What you did	...aréir	last night	a-rare																																																									
What you did	...arú aréir	the night before last																																																										
What you did	...maidin inné	yesterday morning																																																										
What you did	...maidin inniú	this morning																																																										
What you did																																																												
What you did		WHERE YOU WENT																																																										
What you did																																																												
What you did	Cá háit?	Where?	Ca hatch?																																																									
What you did	Cá háit a ndeachaigh* tú?	Where did you go?	Ca hatch a dja-ha too?																																																									
What you did	Cá háit a ndeachaigh* sibh?	Where did you go?  (plural)	Ca hatch a dja-ha shiv?																																																									
What you did	Cá háit a ndeachaigh* tú inné?	Where did you go yesterday?																																																										
What you did	Cá háit a ndeachaigh* tú ag an deireadh seachtaine?	Where did you go at the weekend?	Ca hatch a dja-ha too ag an djeroo shockt-in-ye?																																																									
What you did	Cá háit a ndeachaigh* tú ...?	Where did you go ...	Ca hatch a dja-ha too?																																																									
What you did		* The n at the beginning of this word is not pronounced in the Ulster dialect.																																																										
What you did																																																												
What you did		ASKING SOMEONE WHAT THEY DID																																																										
What you did																																																												
What you did	Cad é rinne tú...?	What did you do...?	Ca jay rin too...?																																																									
What you did	Cad é rinne tú ag an deireadh seachtaine?	What did you do at the weekend?	Ca jay rin too ag an djeroo shock-tin-ya?																																																									
What you did																																																												
What you did		SAYING YOU WENT SOMEWHERE																																																										
What you did																																																												
What you did	Chuaigh mé ...	I went ...	wheh meh ... ---->> who-e meh																																																									
What you did	Chuaigh mé ag snámh.	I went swimming.	wheh meh a sna-o																																																									
What you did	Chuaigh mé ag súil.	I went walking.	wheh meh a shool																																																									
What you did	Chuaigh mé ag bainis.	I went to a wedding.	wheh meh a bawnish																																																									
What you did	Chuaigh muid ag rothaíocht.	We went cycling.	wheh mwidgh ag ro-he-ocht (ro-he-art>>)																																																									
What you did	Chuaigh mé go Béal Feirste ag siopadóireacht.	I went to Belfast shopping.																																																										
What you did	rothaíocht	cycling																																																										
What you did	Chuaigh mé go dtí an siopa	I went to the shop																																																										
What you did	Chuaigh mé chuig cluiche peile	I went to a football match	...clooha pella??																																																									
What you did																																																												
What you did		SAYING WHAT YOU DID																																																										
What you did																																																												
What you did	Bhí mé ag bainis.	I was at a wedding.																																																										
What you did	D'imir mé cispheil.	I played basketball.	Djimir meh kish-fell																																																									
What you did	D'amharc mé ar fhíseáin.	I watched videos.	dark meh ar eesh-aan																																																									
What you did	D'éist mé le dlúthdhioscaí.	I listened to CDs.	djeest meh le dluduskee																																																									
What you did	D'ól mé cúpla deoch.	I had a few drinks.	dol meh coupla jaw																																																									
What you did																																																												
What you did	scannán	film																																																										
What you did																																																												
What you did	Caithfidh mé labhairt leat inniu	I need to see you today	????																																																									
What you did	ceolchoirm	concert																																																										
What you did	coirm cheoil	concert																																																										
What you did	mí (mhí)	month	mee (vee)																																																									
What you did																																																												
What you did	suigh síos	sit down																																																										
What you did	shuigh sé síos	he sat down																																																										
What you did	druid	close																																																										
What you did	dhruid sí	she closed																																																										
What you did																																																												
What you did	ól	drink																																																										
What you did	d'ól mé	I drank																																																										
What you did	fan	wait																																																										
What you did	d'fhan mé	I waited																																																										
What you did																																																												
What you did	bhí mé	I was																																																										
What you did	rinne mé	I did/made																																																										
What you did	chuala tú	you heard	(throaty) cwilla to																																																									
What you did	dúirt sé	he said	doortch sheh																																																									
What you did	fuair sí	she got	foo-er she																																																									
What you did	d'ith muid	we ate	dgee mwidg																																																									
What you did	chonaic sibh	you saw	(throaty) honic shiv																																																									
What you did	thug siad	they gave	hug shade																																																									
What you did	chuaigh mé	I went	who-e meh																																																									
What you did	rug sí ar	she caught	rug she ar																																																									
What you did	tháinig sé	he came	hanig sheh																																																									
What you did	maidin Dé Máirt	Tuesday morning																																																										
What you did	tráthnóna Déardaoin	Thursday evening																																																										
What you did	oíche Luain	Monday night																																																										
What you did	oíche Mháirt	Tuesday night																																																										
What you did	oíche Chéadaoin	Wednesday night																																																										
What you did	oíche Dhéardaoin	Thursday night																																																										
What you did	oíche Aoine	Friday night																																																										
What you did	oíche Shathairn	Saturday night																																																										
What you did	oíche Dhomhnaigh	Sunday night																																																										
What you did	Cá huair?	When?																																																										
What you did	Cá huair a chuaigh tú go Leitir Ceanainn?	When did you go to Letterkenney?																																																										
What you did	Cén lá a chuaigh tú go Leitir Ceanainn?	What day did you go to Letterkenney?																																																										
What you did																																																												
What you did		ASKING SOMEONE WHO WAS WITH THEM																																																										
What you did																																																												
What you did	Cé a bhí leat?	Who was with you?	kay vee lat?																																																									
What you did	Cé a chuaigh leat?	Who went with you?	Kay who-e lat?																																																									
What you did	Cé a bhí ag an disco leat?	Who was with you at the disco?	kay vee ag an disco lat?																																																									
What you did																																																												
What you did	GIVING A RESPONSE																																																											
What you did																																																												
What you did	cara	friend																																																										
What you did	cairde	friends																																																										
What you did	Mo chara	My friend.																																																										
What you did	Mo chara Liam	My friend Liam																																																										
What you did	Mo chairde	My friends																																																										
What you did																																																												
What you did		ASKING SOMEONE IF THEY ENJOYED SOMETHING																																																										
What you did																																																												
What you did	Ar bhain tú sult as?	Did you enjoy it?	Ar win tu sult ass?																																																									
What you did	Ar bhain tú sult as an dráma?	Did you enjoy the play?	Ar win tu sult ass an drama?																																																									
What you did	Ar bhain tú sult as an deireadh seachtaine?	Did you enjoy the weekend?																																																										
What you did																																																												
What you did		GIVING YOUR REPLY																																																										
What you did																																																												
What you did	Bhain.	Yes (I did).	win																																																									
What you did	Níor bhain.	No (I didn't).	near win																																																									
What you did	Bhain mé an-sult as.	I really enjoyed it.	win meh an-sult as																																																									
What you did																																																												
What you did		In Aonad 7 we saw three different words that are used to say 'to' in Irish:																																																										
What you did																																																												
What you did	go hArd Mhacha	to Armagh																																																										
What you did	go dtí an banc	to the bank																																																										
What you did	chuig dráma	to a play																																																										
What you did																																																												
What you did	Chuaigh mé chuig an dochtúir.	I went to the doctor.																																																										
What you did	Chuir mé litir chuig Anna.	I sent a letter to Anna.																																																										
What you did	Chaith sé cnámh chuig an mhadadh.	He threw a bone to the dog.																																																										
Taking your leave	AG FÁGÁIL COMHLUADAIR	TAKING YOUR LEAVE	Ag faygal cool-wah-der																																																									
Taking your leave	Caithfidh mé imeacht.	I have to go.	Ka-heh meh imackt																																																									
Taking your leave	Caithfidh mé imeacht arís.	I have to go again.																																																										
Taking your leave	Éist, caithfidh mé imeacht.	Listen, I have to go .																																																										
Taking your leave	Caithfidh mé ag dul abhaile.	I have to go home.																																																										
Taking your leave	Tá mé ag imeacht.	I am going.																																																										
Taking your leave	Tá mé ag dul abhaile.	I am going home.																																																										
Taking your leave	Tá mé ag dul chun an bhaile.	I am going home.																																																										
Taking your leave		GIVING YOUR RESPONSE																																																										
Taking your leave	Maith go leor.	All right.																																																										
Taking your leave	Ceart go leor.	All right.																																																										
Taking your leave	Is mór an trua sin.	That's a pity.																																																										
Taking your leave	Cheana féin!	Already!																																																										
Taking your leave	Níl sé ach luath.	It's only early. (Literal: it's not but early)																																																										
Taking your leave	Cad chuige?	Why?	cad teeya??																																																									
Taking your leave		SAYING YOU'RE SORRY																																																										
Taking your leave	Tá brón orm ach ...	I am sorry but ...																																																										
Taking your leave	Tá mé buartha ach ...	I am sorry but ...																																																										
Taking your leave		SAYING WHY YOU HAVE TO GO																																																										
Taking your leave	Tá mé tuirseach.	I'm tired.																																																										
Taking your leave	Tá mé an-tuirseach.	I'm very tired.																																																										
Taking your leave	Tá sé mall.	It's late.																																																										
Taking your leave	Tá sé an-mhall.	It's very late.																																																										
Taking your leave	Tá mé mall.	I'm late.																																																										
Taking your leave	Tá mé mall don dráma.	I'm late for the play.																																																										
Taking your leave	Tá deifir orm.	I'm in a hurry.																																																										
Taking your leave	Tá mé ag súil le cuairteoirí.	I'm expecting visitors.																																																										
Taking your leave	Tá mé ag dul chuig cruinniú.	I'm going to a meeting.																																																										
Taking your leave																																																												
Taking your leave	Fan tamall beag eile!	Stay a little while longer!																																																										
Taking your leave	Fan go dtí ...	Stay until ...																																																										
Taking your leave	Fan go dtí a hocht.	Stay until eight.																																																										
Taking your leave	Fan leathuair eile.	Stay another half an hour.																																																										
Taking your leave	Fan uair an chloig eile.	Stay another hour.																																																										
Taking your leave		GIVING YOUR REPLY																																																										
Taking your leave	Ní thig liom.	I can't.																																																										
Taking your leave																																																												
Taking your leave	saoire	holiday																																																										
Taking your leave	laethanta saoire	holiday																																																										
Taking your leave	Chífidh mé ar ball tú.	I'll see you in a while/I'll see you later.																																																										
Taking your leave	Chífidh mé i gceann leathuaire* tú.	I'll see you in half an hour.																																																										
Taking your leave	Chífidh mé anocht tú.	I'll see you tonight.																																																										
Taking your leave	Chífidh mé amárach tú.	I'll see you tomorrow.																																																										
Taking your leave	Chífidh mé tráthnóna tú.	I'll see you this evening.																																																										
Taking your leave	Chífidh mé ar maidin tú.	I'll see you in the morning.																																																										
Taking your leave		*For some more useful sentences containing uair go back to Aonad 7.																																																										
Taking your leave		REFERRING TO TIMES FURTHER IN THE FUTURE																																																										
Taking your leave	Chífidh mé i gceann cúpla lá tú.	I'll see you in a few days' time.																																																										
Taking your leave	Chífidh mé ar an tseachtain seo chugainn tú.	I'll see you next week.																																																										
Taking your leave	Chífidh mé i gceann seachtaine tú.	I'll see you in a week's time.																																																										
Taking your leave	Chífidh mé i gceann coicíse tú.	I'll see you in a fortnight's time.																																																										
Taking your leave	Chífidh mé i gceann míosa tú.	I'll see you in a month's time.																																																										
Taking your leave	Chífidh mé an mhí seo chugainn tú.	I'll see you next month.																																																										
Taking your leave	Chífidh mé ag a trí a chlog tú.	I'll see you at three o clock.																																																										
Daily Routine	Músclaím ...	I wake up ...	musclum..																																																									
Daily Routine	de ghnáth	usually	de greah																																																									
Daily Routine	Músclaím de ghnáth thart fá leath i ndiaidh a seacht.	I usually wake up around half past seven.																																																										
Daily Routine	Éirím ag a hocht.		earim..																																																									
Daily Routine		or																																																										
Daily Routine	Éirím ar a hocht.	I get up at eight.																																																										
Daily Routine	Ním mé féin.	I wash myself.																																																										
Daily Routine	Ithim mo bhricfeasta idir a hocht agus leath i ndiaidh a hocht.	I eat my breakfast between eight and half past eight.																																																										
Daily Routine	Téim ag obair thart fá cheathrú go dtí a naoi.	I go to work at around a quarter to nine.																																																										
Daily Routine	Téim chun na scoile ag a naoi a chlog.	I go to school at nine o'clock.																																																										
Daily Routine		ASKING SOMEONE WHAT TIME THEY DO SOMETHING																																																										
Daily Routine	Cad é an t-am a n-éiríonn tú achan mhaidin?	What time do you get up every morning?																																																										
Daily Routine	Cad é an t-am a dtéann tú ag obair achan mhaidin?	What time do you go to work every morning?																																																										
Daily Routine	Cad é an t-am a mbíonn do dhinnéar agat?	What time do you have your dinner?																																																										
Daily Routine		DISCUSSING ROUTINES																																																										
Daily Routine	Bíonn mo lón agam idir a haon agus a dó.	I have my lunch between one and two.																																																										
Daily Routine	Bím sa bhaile de ghnáth ag a sé.	I'm usually home at six.																																																										
Daily Routine	Bíonn mo dhinnéar agam sa bhaile.	I have my dinner at home.																																																										
Daily Routine		We've already come across tá many times during this course. When you're referring to something that recurs, either frequently or infrequently, you need to use the present habitual form:																																																										
Daily Routine	Tá mé tuirseach.	(I'm tired.)																																																										
Daily Routine	Bím tuirseach i gcónaí tráthnóna.	(I am always tired in the evening.)																																																										
Daily Routine	Tá mé mall.(I'm late.)																																																											
Daily Routine	Bím mall i gcónaí maidin Dé luain.	(I am always late on Monday morning.)																																																										
Daily Routine																																																												
Daily Routine	Cad é a dhéanann tú i rith an lae?	What do you do during the day?																																																										
Daily Routine	Cad é a dhéanann tú tráthnóna?	What do you do in the evening?																																																										
Daily Routine		GIVING YOUR REPLY																																																										
Daily Routine	Tagaim abhaile ..	I come home ...																																																										
Daily Routine	Éistim leis an raidió.	I listen to the radio.																																																										
Daily Routine	Amharcaim ar an teilifís.	I watch television.																																																										
Daily Routine	Téim amach.	I go out.																																																										
Daily Routine	Déanaim réidh béile.	I prepare a meal.																																																										
Daily Routine	Téim a luí luath.	I go to bed early.																																																										
Daily Routine																																																												
Daily Routine		ASKING SOMEONE IF THEY DO A PARTICULAR THING																																																										
Daily Routine																																																												
Daily Routine	An éisteann tú le ceol?	Do you listen to music?																																																										
Daily Routine	Éistim.	I do (literally, I listen).																																																										
Daily Routine	Ní éistim.	I don't (literally, I don't listen).																																																										
Daily Routine																																																												
Daily Routine	An dtéann tú amach go minic?	Do you go out often?																																																										
Daily Routine	Téim.																																																											
Daily Routine	Ní théim.																																																											
Daily Routine																																																												
Daily Routine	An éiríonn tú go luath?	Do you get up early?																																																										
Daily Routine	Éirím.																																																											
Daily Routine	Ní éirím.																																																											
Daily Routine																																																												
Daily Routine	A-?																																																											
Daily Routine	Bím.																																																											
Daily Routine	Ní bhím.																																																											
Daily Routine																																																												
Daily Routine	A-----------------------------?																																																											
Daily Routine	Tagaim.																																																											
Daily Routine	Ní thagaim.																																																											
Daily Routine																																																												
Daily Routine	An amharcann tú ar an teilifís?	Do you watch television?																																																										
Daily Routine	Amharcaim.																																																											
Daily Routine	Ní amharcaim.																																																											
Location and movement	Cá bhfuil ...?	Where is/are ...?																																																										
Location and movement	Cá bhfuil oifig an phoist?	Where is the post office?																																																										
Location and movement	Cá bhfuil do charr?	Where is your car?																																																										
Location and movement	Cá bhfuil na heochracha?	Where are the keys?																																																										
Location and movement	SAYING WHERE SOMETHING IS																																																											
Location and movement	... ar chlé	... on the left																																																										
Location and movement	... ar dheis	... on the right																																																										
Location and movement	Tá sé ansin ar chlé.	It's there on the left.																																																										
Location and movement	Tá sé anseo ar dheis.	It's here on the right.																																																										
Location and movement	Tá sé trasna ón siopa.	It's across from the shop.																																																										
Location and movement	Tá sé in aice leis an chaife.	It's beside the cafe.																																																										
Location and movement																																																												
Location and movement	ASKING HOW MANY ROOMS THERE ARE IN A HOUSE																																																											
Location and movement	Cá mhéad seomra atá ann?	How many rooms are in it?																																																										
Location and movement																																																												
Location and movement	Here are some possible answers:																																																											
Location and movement	Tá trí sheomra ann.	It has three rooms.																																																										
Location and movement	Ocht seomra.	Eight rooms.																																																										
Location and movement																																																												
Location and movement	If you are not sure why it is trí sheomra but ocht seomra, go back to Unit 6.																																																											
Location and movement	GIVING DIRECTIONS																																																											
Location and movement	Téigh suas an staighre.	Go up the stairs.																																																										
Location and movement	Téigh síos an halla.	Go down the hall.																																																										
Location and movement	Tiontaigh ...	Turn ...																																																										
Location and movement	Tiontaigh ar chlé or ar dheis.	Turn left or right.																																																										
Location and movement	SAYING WHICH DOOR IT IS																																																											
Location and movement	an chéad doras ar chlé	the first door on the left																																																										
Location and movement																																																												
Location and movement	Here are the ordinal numbers from the first to tenth:																																																											
Location and movement	an chéad	the first																																																										
Location and movement	an dara	the second																																																										
Location and movement	an tríú	the third																																																										
Location and movement	an ceathrú	the fourth																																																										
Location and movement	an cúigiú	the fifth																																																										
Location and movement	an séú	the six																																																										
Location and movement	an seachtú	the seventh																																																										
Location and movement	an t-ochtú	the eighth																																																										
Location and movement	an naoú	the ninth																																																										
Location and movement	an deichiú	the tenth																																																										
Location and movement	DESCRIBING THE CONTENTS OF A HOUSE																																																											
Location and movement	an tábla	the table																																																										
Location and movement	an chaothaoir	the chair																																																										
Location and movement	an cuisneoir	the fridge																																																										
Location and movement	an sorn	the cooker																																																										
Location and movement	an leaba	the bed																																																										
Location and movement	an teilifíseán	the television																																																										
Location and movement	an prios	the press																																																										
Location and movement	an cuirtíní	the curtains																																																										
Location and movement	an brat urláir	the carpet																																																										
Location and movement	ASKING WHERE TO PUT THINGS																																																											
Location and movement	Cá gcuirfidh mé é seo?	Where will I put this?																																																										
Location and movement	Cá gcuirfidh mé iad seo?	Where will I put these?																																																										
Location and movement	ASKING WHERE TO PUT THINGS																																																											
Location and movement	Cuir thall ansin é.	Put it over there.																																																										
Location and movement	Cuir sa chistin é.	Put it in the kitchen.																																																										
Location and movement	Cuir sa seomra folctha é.	Put it in the bathroom.																																																										
Location and movement	Ar an tábla.	On the table.																																																										
Location and movement	As we saw in earlier units, i or in is the Irish for 'in':																																																											
Location and movement	Tá mé i mo chónaí i mBaile Átha Cliath.	I live in Dublin.																																																										
Location and movement																																																												
Location and movement	However, 'in the' is one word in Irish: sa(n).																																																											
Location and movement	sa chistin	in the kitchen																																																										
Location and movement	sa gharáiste	in the garage																																																										
Location and movement																																																												
Location and movement	Sa adds a séimhiú to words beginning with a consonant (except d, n, t, l, and s):																																																											
Location and movement	sa chuisneoir	in the fridge																																																										
Location and movement	sa phrios	in the garage																																																										
Location and movement	but																																																											
Location and movement	sa siopa	in the shop																																																										
Location and movement	sa teach	in the house																																																										
Location and movement																																																												
Location and movement	And san is used before words beginning with a vowel:																																																											
Location and movement	san oifig	in the office																																																										
Location and movement	san ionad spóirt	in the sports centre																																																										
Location and movement	MOVEMENT																																																											
Location and movement	Téigh suas ...	Go up ...																																																										
Location and movement	Téigh síos ...	Go down ...																																																										
Location and movement	Téigh amach ...	Go out ...																																																										
Location and movement	Téigh isteach ...	Go in ...																																																										
Location and movement	LOCATION																																																											
Location and movement	thuas	up																																																										
Location and movement	thíos ...	down																																																										
Location and movement	(taobh) amuigh	outside																																																										
Location and movement	(taobh) istigh ...	inside																																																										
